menus_id,名字,收藏,浏览,工艺,口味,时间,难度,主料,辅料
4390,带着春天气息的葱油蚕豆, 0 收藏 , 6474 浏览,炒,葱香味,15分钟,初级入门,['蚕豆 200克'],"['香葱 适量', '食用油 适量', '盐 适量']"
8623,啤酒鹌鹑蛋炖豆腐，补钙健脑，鲜香四溢, 0 收藏 , 2294 浏览,炖,咸鲜味,10分钟,新手尝试,"['费尔德堡无醇啤酒 1罐', '鹌鹑蛋 20个', '北豆腐 1小块', '鸡蛋 1个', '食用油 适量']","['盐 1勺', '生抽 2勺', '白糖 1小勺', '鸡精 1小勺', '葱姜 适量']"
5434,鱼香肉丝, 10 收藏 , 2617 浏览,炒,鱼香味,10分钟,新手尝试,"['里脊肉 一块', '胡萝卜 适量', '笋 适量', '木耳 适量']","['大厨四宝小石窖鱼香肉丝 1罐', '盐 适量', '淀粉 适量', '葱姜 适量', '食用油 适量']"
1078,可乐鸡翅, 13 收藏 , 5525 浏览,煮,咸鲜味,60分钟,未知,"['鸡全翅 4个', '可乐 350克']","['大葱 4片', '姜 4片', '蒜 4粒', '植物油 1勺', '花椒粒 1匙', '盐 2匙']"
14972,香煎大排, 62 收藏 , 6402 浏览,煎,咸鲜味,30分钟,初中水平,['大排 400克'],"['食用油 适量', '盐 适量', '生抽 适量', '蚝油 适量', '黑椒酱 适量', '白胡椒粉 适量', '青柠 1个', '葱丝 少许']"
11390,酱焖罗非鱼, 414 收藏 , 6760 浏览,焖,酱香味,30分钟,初级入门,"['罗非鱼 1条', '黄豆酱 2大勺']","['生抽 2勺', '料酒 2勺', '盐 适量', '白糖 1勺', '葱 半根', '姜 1小块', '面粉 适量']"
1455,腊肠炒芹菜, 17 收藏 , 11350 浏览,炒,家常味,15分钟,新手尝试,"['腊肠 3根', '芹菜 2棵', '大葱 1段']","['花生油 5毫升', '盐 2克']"
11485,腌笃鲜（咸肉版）, 500 收藏 , 7408 浏览,炖,咸鲜味,60分钟,新手尝试,"['金字淡咸肉 180克', '排骨 200克', '春笋 2根']","['生姜 一块', '黄酒 适量']"
14932,鳕鱼韭菜鸡蛋饼, 16 收藏 , 30562 浏览,煎,咸鲜味,30分钟,未知,"['鳕鱼 200克', '鸡蛋 2枚', '韭菜 60克', '中筋面粉 适量', '玉米淀粉 20克']","['盐 适量', '料酒 8克', '胡椒粉 1克', '花椒粉 2克', '鸡精 1克', '花生油 少许', '葱 适量', '姜 4片', '香菜梗 少许']"
6109,鹌鹑蛋烧豆腐, 166 收藏 , 83575 浏览,烧,酱香味,15分钟,初级入门,"['豆腐 300克', '鹌鹑蛋 12颗']","['葱、蒜 适量', '鸡精 适量', '水淀粉 适量', '豆瓣酱 适量', '料酒 适量', '盐 适量', '生抽 适量', '蚝油 适量', '白糖 适量', '老抽 适量', '胡椒粉 适量']"
4642,美味鱼香肉丝, 619 收藏 , 6541 浏览,炒,家常味,15分钟,初中水平,"[' 瘦肉 250克', '黑木耳 50克', '胡萝卜 50克', '青椒 50克']","['豆瓣酱 20克', '白糖 20克', '醋 1茶匙', '酱油 1茶匙', '料酒 1茶匙', '食盐 1茶匙', '水淀粉 10克', '葱 2根', '大蒜 4瓣', '姜 3片']"
13218,番茄炒鸡蛋, 558 收藏 , 6677 浏览,炒,家常味,10分钟,未知,"['番茄 一个', '鸡蛋 三个']","['盐 适量', '料酒 适量', '葱 适量']"
4349,元宝红烧肉, 104 收藏 , 56457 浏览,炖,家常味,90分钟,初级入门,['五花肉 800克'],"['老抽 30克', '冰糖 80克', '生抽 60克', '八角 3个', '料酒 25克', '香叶 3片', '姜 5片', '花椒 40粒', '水 690毫升', '葱 1根']"
9973,糖醋里脊, 599 收藏 , 3982 浏览,炒,家常味,5分钟,新手尝试,"['里脊肉 300克', '葱 15克', '蒜 15克', '姜 15克']","['盐 2克', '料酒 10克', '鸡蛋 1个', '生粉 20克', '白糖 5克', '醋 10克']"
5263,莲藕腐竹炖鸡, 13 收藏 , 5222 浏览,炖,家常味,60分钟,初中水平,"['土鸡 半只', '莲藕 500克', '腐竹 100克']","['盐 适量', '枸杞 5克', '姜 10克']"
7909,红烧土豆排骨, 1 收藏 , 10663 浏览,烧,酱香味,90分钟,未知,"['排骨 1斤', '生抽 1勺', '老抽 1勺', '白糖 20克', '土豆 1个', '八角 1个', '桂皮 1节', '香叶 2片', '盐 5克', '葱 2节', '生姜 4片', '开水 适量']",['食用油 适量']
3109,干锅羊排, 2 收藏 , 1995 浏览,干煸,香辣味,15分钟,新手尝试,"['羊排骨 1斤半', '洋葱 1个', '红辣椒 1个', '青辣椒 1个', '胡萝卜 1个', '芹菜 2根', '姜 几片']","['菜籽油 适量', '盐 适量', '辣椒粉 适量', '孜然粉 适量', '白胡椒粉 适量']"
14159,苦瓜木耳炒鸡蛋, 7 收藏 , 1441 浏览,炒,家常味,15分钟,新手尝试,"['苦瓜 1根', '鸡蛋 2个', '木耳 10克']","['酱油 适量', '大蒜 1瓣', '油 适量']"
1362,爽脆鲜嫩下饭的肉丝炒芹菜胡萝卜, 3 收藏 , 2104 浏览,炒,家常味,5分钟,初级入门,"['猪里脊 1块', '芹菜 1棵', '胡萝卜 半根']","['油 少许', '盐 少许', '酱油 适量', '玉米淀粉 1小勺', '料酒 少许']"
6076,香菇西蓝花炒虾仁, 3 收藏 , 1410 浏览,炒,家常味,10分钟,新手尝试,"['西蓝花 200克', '虾仁 150克', '鲜香菇 3朵', '木耳 少许']","['味达美臻品料酒 1大勺', '六月鲜12克轻盐牡蛎酱油 1勺', '淀粉 1勺']"
8108,家常木须肉, 462 收藏 , 2030 浏览,炒,家常味,5分钟,初级入门,"['鸡蛋 2个', '泡发黄花菜 1碗', '胡萝卜 半根', '黄瓜 1根']","['油 15克', '大蒜 6瓣', '盐 0.5克', '生抽 10克', '酱油 5克']"
11359,卤豆腐干, 7 收藏 , 6792 浏览,卤,家常味,60分钟,初中水平,['豆腐干 800克'],"['植物油 1000克', '盐 适量', '八角 1个', '桂皮 10克', '花椒粒 1克']"
8400,风琴茄子, 5 收藏 , 3097 浏览,炸,香辣味,15分钟,中级掌勺,"['肉末 适量', '茄子 1根']","['食盐 1勺', '淀粉 1勺、', '酱油 1勺', '油 1勺', '生粉 适量', '辣椒 适量', '葱花 适量']"
14658,白玉菇炒虾仁, 29 收藏 , 3203 浏览,炒,家常味,10分钟,新手尝试,"['大虾 适量', '鸡蛋 3个', '白玉菇或海鲜菇 适量']","['盐 1勺', '水淀粉 1勺', '食用油 适量', '葱姜 适量']"
5586,凉拌折耳根, 300 收藏 , 8171 浏览,拌,香辣味,5分钟,新手尝试,['折耳根 300克'],"['酱油 2勺', '辣椒油 1勺', '花椒油 1勺', '醋 1勺', '蚝油 1勺']"
4427,蒜香茄子, 351 收藏 , 3919 浏览,烤,香辣味,30分钟,初级入门,['茄子 2根'],"['蒜蓉 适量', '葱花 适量', '小米辣 适量', '白芝麻 适量']"
