菜名,工艺,口味,时间,难度,主料,辅料
脆口辣莲藕丁,炒,香辣味,10分钟,未知,['莲藕 一节'],"['大蒜 适量', '辣椒 少许', '大蒜 适量', '豆瓣酱 一勺', '蚝油 一勺', '酱油 一勺', '鸡精 少许', '盐 少许']"
鸭黄土豆,炒,咸鲜味,30分钟,未知,"['蛋黄 4个', '土豆 2个']","['花生油 15克', '盐 1克', '白糖 3克', '鸡精 1克', '大蒜 2瓣']"
酸辣卤鸭掌,卤,酸辣味,60分钟,初级入门,['鸭掌 1000克'],"['大葱 半根', '冰糖 20克', '料酒 适量', '大蒜 1根', '洋葱 1个', '辣椒 3只', '生姜 2片', '酱油 适量', '蚝油 1勺', '八角 2个', '香叶 1片']"
红烧日本南瓜,炒,家常味,15分钟,新手尝试,['南瓜 1个'],"['花生油 少许', '酱油 少许', '葱白 少许', '水 少许']"
葱白爆羊肉，秋季滋补佳品,炒,家常味,15分钟,初级入门,['羊肉 500克'],"['大葱 3根', '洋葱 半只', '猪油 适量', '生姜 适量', '大蒜 适量', '白糖 适量', '酱油 适量', '米醋 适量', '淀粉 适量', '花生油 适量']"
茶香鹌鹑蛋，低温烹调更入味哟！,煮,家常味,2小时,初级入门,"['鹌鹑蛋 24枚', '红茶 1个']","['盐 少许', '香叶 1片', '桂皮 1块', '生姜 2片', '葱白 1段', '酱油 适量', '冰糖 少许', '蚝油 1勺']"
农家韭菜鸡蛋捞面条,煮,咸鲜味,15分钟,初级入门,['面条 200克'],"['韭菜 1把', '鸡蛋 2个', '猪油 10克', '盐 2克', '鸡精 1克', '醋 适量']"
鲜嫩蒸鸡翅，原汁原味,蒸,咸鲜味,15分钟,新手尝试,['鸡翅 8只'],"['干辣椒 4个', '葱白 适量', '盐 1勺', '白糖 1勺', '料酒 2勺', '酱油 3勺', '蚝油 2勺']"
泡椒炒鸡胗,炒,家常味,15分钟,未知,"['鸡胗 300克', '泡椒 5个', '大蒜 2瓣', '生姜 1块', '黄豆芽 200克']","['盐 适量', '料酒 1勺', '酱油 1勺', '花生油 适量']"
鱼籽蒸芋头,蒸,香辣味,15分钟,初中水平,"['鱼籽 300克', '芋头 两个']","['花生油 40克', '泡椒 5个', '豆豉 15克', '大蒜 3粒', '生姜 1块', '酱油 15克', '蚝油 5克', '料酒 15克']"
