菜名,工艺,口味,时间,难度,主料,辅料
清炖羊肉,炖,咸鲜味,30分钟,初级入门,"['羊肉 400克', '山药 100克']","['小葱 4克', '生姜 3克', '大蒜 3克', '花椒 3克', '八角 1克', '枸杞子 1克', '盐 4克', '料酒 7克']"
酱油炒饭,炒,家常味,15分钟,初级入门,"['大米 1碗', '黄瓜 30克', '胡萝卜 半根', '鸡蛋 1个']","['花生油 5毫升', '酱油 5克', '盐 3克', '鸡精 适量']"
西湖牛肉羹,煮,家常味,15分钟,初级入门,"['豆腐 100克', '牛肉 100克']","['香菜 2根', '香菇 2个', '水 100毫升', '蛋黄 40克', '胡椒粉 1克']"
西葫芦炒肉,炒,咸鲜味,10分钟,初级入门,"['西葫芦 250克', '猪肉 100克', '胡萝卜 50克']","['大蒜 5克', '小葱 1根', '花生油 5毫升', '料酒 5克', '鸡精 3克', '盐 2克', '酱油 15克', '蚝油 2克', '淀粉 15克']"
爆炒猪腰,炒,香辣味,30分钟,初级入门,"['猪腰 400克', '莲藕 30克', '韭菜 5克', '黑木耳 30克']","['醋 60克', '酱油 5克', '白糖 10克', '盐 2克', '鸡精 1克', '淀粉 8克', '大蒜 3克', '花生油 5毫升']"
干锅土豆香辣虾,干煸,香辣味,10分钟,未知,"['土豆 1个', '芹菜 1颗', '冰糖 300克', '猪肉 1小块']","['洋葱 半个', '酱油 5克', '酱油 适量', '豆瓣酱 5克', '盐 2', '白糖 2克', '大蒜 4瓣']"
骨头汤,炖,咸鲜味,2小时,新手尝试,['排骨 700克'],"['生姜 5克', '白萝卜 1根', '小葱 3根', '料酒 10克', '盐 2克', '鸡精 2克', '蚝油 5克']"
土豆卷饼,煎,香辣味,15分钟,初级入门,"['小麦面粉 100克', '土豆 20克']","['花生油 3毫升', '辣椒酱 适量']"
炖排骨,炖,咸鲜味,60分钟,初中水平,"['排骨 500克', '八角 适量', '香叶 适量', '小葱 适量', '生姜 适量']","['酱油 3克', '酱油 3克', '料酒 3克', '盐 3克', '水 100毫升']"
粉蒸排骨,蒸,家常味,30分钟,初级入门,"['排骨 600克', '米粉 100克']","['料酒 10克', '酱油 2克', '蚝油 10克', '腐乳 10克', '盐 5克', '白糖 5克', '生姜 10克', '大蒜 10克']"
青椒炒肉,炒,香辣味,15分钟,初级入门,"['猪肉 100克', '青椒 1根', '大蒜 10克', '生姜 10克']","['料酒 3克', '酱油 25克', '花生油 50克', '淀粉 10克', '白糖 2克']"
青椒猪肉,炒,香辣味,30分钟,初级入门,"['猪肉 500克', '青椒 2个']","['花生油 10毫升', '大蒜 50', '胡椒粉 5克', '盐 5克', '淀粉 50克']"
爆炒鱿鱼,炒,咸鲜味,15分钟,中级掌勺,"['鱿鱼 1条', '青椒 100克', '洋葱 半个']","['生姜 5克', '葱白 5克', '大蒜 3克', '花生油 5毫升', '干辣椒 15克', '豆瓣酱 8克', '辣椒酱 2克', '酱油 2克', '芝麻 2克', '孜然 3克']"
土豆烧鸡,烧,香辣味,90分钟,中级掌勺,"['田鸡 500克', '土豆 500克', '辣椒 10克', '胡萝卜 20克', '生姜 1块', '大蒜 3个']","['花生油 10克', '盐 5克', '番茄酱 1汤匙', '料酒 1汤匙', '水 100克']"
奶酪火鸡,炒,香辣味,30分钟,初级入门,"['鸡腿 5个', '山楂 适量']","['大蒜 1勺', '酱油 1勺', '辣椒粉 1勺', '辣椒酱 2勺', '芝麻酱 1勺', '花生油 1勺', '芝麻 适量', '紫菜 适量', '胡椒粉 适量']"
香烤猪蹄,烤,香辣味,30分钟,初级入门,['猪蹄 2个'],"['八角 2个', '香叶 2片', '百香果 1颗', '桂皮 1块', '冰糖 3颗', '酱油 15克', '料酒 20克', '花生酱 15克', '酱油 25克', '干辣椒 2个', '大葱 适量', '辣椒粉 适量', '生姜 适量', '芝麻 适量']"
烤肉,煎,咸鲜味,15分钟,初中水平,"['猪肉 200克', '洋葱 1个', '辣椒 1个']","['生姜 10克', '酱油 3克', '蚝油 3克', '辣椒粉 适量', '盐 2克', '白糖 3克', '花生油 5毫升']"
香烤口蘑鹌鹑蛋,烤,家常味,5分钟,新手尝试,"['蘑菇 8个', '鹌鹑蛋 8个', '亚麻籽油 适量']","['椒盐 适量', '胡椒 适量', '迷迭香 2根']"
空气炸锅地三鲜,烤,酱香味,30分钟,中级掌勺,"['土豆 1个', '青椒 1个', '茄子 1个']","['酱油 1茶匙', '鸡精 1/2茶匙', '小葱 适量', '生姜 适量', '大蒜 适量', '白糖 1/2茶匙', '胡椒粉 适量', '洋葱 适量', '蚝油 1茶匙', '盐 1克', '鸡精 1汤匙', '淀粉 1/2茶匙', '培根 1勺']"
粉丝蒸茄子,蒸,家常味,10分钟,新手尝试,"['茄子 2根', '粉丝 1把']","['小葱 2棵', '大蒜 瓣']"
炒合菜,炒,家常味,15分钟,新手尝试,"['鸡蛋 适量', '黄豆芽 适量', '韭菜 适量', '粉条 适量', '葱白 适量']","['酱油 两勺', '蚝油 一勺', '盐 适量']"
孜然烤翅,烤,其它口味,30分钟,初级入门,['鸡翅 10个'],"['盐 2克', '孜然 3克', '酱油 10克', '酱油 3克', '料酒 10克', '蚝油 10克']"
水煮虾,煮,香辣味,30分钟,初中水平,"['虾 300克', '卷心菜 150克', '花生油 20毫升']","['生姜 5克', '大蒜 4克', '干辣椒 3克', '葱白 3克', '花生油 5毫升', '花椒 1克', '豆瓣酱 30克', '水 100毫升', '料酒 100毫升', '白糖 2克', '料酒 5克']"
爆炒猪肝,炒,咸鲜味,10分钟,初中水平,"['猪肝 500克', '料酒 100毫升']","['大蒜 3瓣', '生姜 10克', '花生油 10克', '酱油 15克', '酱油 10克', '白糖 8克', '小麦面粉 50毫升', '水 50毫升']"
麻婆豆腐,烧,麻辣味,15分钟,新手尝试,"['豆腐 400克', '牛肉 150克', '花生油 适量', '豆瓣酱 1大勺']","['花椒 1小勺', '花椒 数粒', '辣椒粉 适量', '料酒 1勺', '盐 1勺', '白糖 半勺', '酱油 1勺', '葱白 适量', '生姜 适量', '大蒜 适量', '淀粉 1勺', '鸡精 适量']"
牛肉面,煮,家常味,10分钟,新手尝试,"['牛肉 600克', '面条 500克']","['葱白 3克', '生姜 2克', '花椒 2克', '辣椒 2克', '肉蔻 3克', '丁香 3克', '香叶 1克', '八角 2克', '桂皮 5克', '草果 2克', '茴香 1克', '辣椒 2克', '苦瓜 5克']"
地狱排骨,焖,家常味,60分钟,中级掌勺,"['排骨 800克', '酒酿 330克', '胡萝卜 1个', '玉米 1个', '香菇 适量']","['酱油 8克', '酱油 15克', '料酒 20克', '番茄酱 20克', '豆瓣酱 20克', '八角 1个', '香叶 1片', '盐 适量', '花椒 适量', '葱白 适量', '生姜 适量', '大蒜 适量', '青椒 适量']"
香煎鸡肉,煎,家常味,10分钟,初级入门,"['鸡肉 1块', '紫甘蓝 50克', '黄瓜 1根', '秋葵 1根', '西红柿 适量']","['花生油 5毫升', '胡椒粉 3克', '盐 3克']"
豉香蒸排骨,蒸,咸鲜味,90分钟,初级入门,"['排骨 300克', '豆豉 适量']","['盐 适量', '酱油 适量', '酱油 适量', '蚝油 适量', '葱白 适量', '生姜 适量', '大蒜 适量', '小麦面粉 适量', '红椒 少许']"
肉骨茶,煮,家常味,60分钟,初级入门,['排骨 300克'],"['大蒜 3克', '油菜 30克', '水 500毫升', '甘草 2克', '八角 1个', '桂皮 1块', '红枣 1个', '丁香 5个', '香菇 2个', '胡椒粉 1克', '酱油 5克', '盐 2克', '枸杞子 2克']"
牛尾汤,炖,咸鲜味,10分钟,初级入门,"['山药 150克', '牛尾 250克']","['胡萝卜 50克', '枸杞子 5克', '葱白 5克', '盐 2克', '胡椒粉 5克']"
炒饼,炒,家常味,30分钟,新手尝试,"['大蒜 5克', '白菜 100克', '猪肉 100克', '粉丝 200克']","['花生油 5克', '盐 2克', '酱油 3克']"
拔丝红薯,拔丝,甜味,15分钟,高级厨师,['红薯 500克'],"['淀粉 100克', '白糖 100克']"
黑木耳炒肉,炒,咸鲜味,30分钟,初级入门,"['黑木耳 适量', '猪肉 50克']","['大蒜 3克', '生姜 5克', '料酒 5克', '盐 2克', '青椒 5克', '红椒 9克', '酱油 5克', '花生油 3毫升']"
腐竹炒肉,炒,咸鲜味,10分钟,初级入门,"['腐竹 200克', '猪肉 100克']","['酱油 5毫升', '青椒 35克', '红椒 35克', '葱白 5克', '盐 2克']"
青椒炒猪肝,炒,家常味,30分钟,初级入门,"['猪肝 300克', '淀粉 10克', '花生油 205毫升']","['生姜 5克', '大蒜 2克', '辣椒 30克', '红椒 2克', '盐 2克', '白糖 2克', '酱油 5克']"
猪肉蒸蛋,蒸,家常味,30分钟,初级入门,"['鸡蛋 4个', '猪肉 100克']","['花生油 5毫升', '大蒜 5克', '酱油 5克', '葱白 5克', '胡萝卜 8克', '香菇 8克', '盐 3克']"
凉拌鸡肉,拌,香辣味,30分钟,初中水平,['鸡肉 适量'],"['葱白 适量', '生姜 适量', '料酒 适量', '大蒜 适量', '酱油 适量', '蚝油 适量', '盐 适量', '辣椒粉 适量', '辣椒 适量', '芝麻 适量', '孜然 适量', '鸡精 适量', '香菜 适量']"
麻婆豆腐,煮,麻辣味,15分钟,新手尝试,"['豆腐 400克', '猪肉 50克', '小葱 1棵', '大蒜 3瓣', '豆瓣酱 1勺', '芝麻酱 80克', '酱油 1勺', '淀粉 1碗']","['花椒 0.5克', '米醋 1克', '猪油 1茶匙', '料酒 1茶匙', '白糖 1茶匙', '芝麻 适量']"
虾仁炒蛋,炒,咸鲜味,15分钟,初级入门,"['虾仁 300克', '鸡蛋 3个']","['亚麻籽油 15克', '盐 4克', '花生油 20毫升', '生姜 5克', '酱油 3克', '葱白 20克']"
麻辣豆腐,其它工艺,香辣味,30分钟,初级入门,"['豆腐 300克', '猪肉 100克']","['盐 6克', '花生油 5毫升', '葱白 5克', '大蒜 5克', '豆瓣酱 10克', '胡椒粉 3克', '酱油 5克', '白糖 5克', '辣椒粉 5克', '辣椒 5克']"
麻婆茄子,炒,麻辣味,15分钟,新手尝试,"['茄子 400克', '猪肉 100克', '大蒜 3瓣', '生姜 2片', '豆瓣酱 1勺', '番茄酱 2勺', '酱油 2勺', '酱油 0.5勺', '淀粉 1碗', '小葱 1棵']","['白糖 1茶匙', '盐 0.5茶匙', '料酒 1茶匙']"
石斑鱼,炖,咸鲜味,15分钟,新手尝试,['石斑鱼 1条'],"['盐 3克', '花生油 5毫升', '生姜 适量', '葱白 适量', '酱油 10克']"
西兰花炒虾仁,炒,咸鲜味,10分钟,初级入门,"['西兰花 300克', '虾仁 适量']","['生姜 3克', '料酒 3毫升', '花生油 5毫升', '鸡精 2克', '盐 2克', '淀粉 5克']"
腌菜花炝毛豆,炒,咸鲜味,10分钟,新手尝试,"['上海青 200克', '毛豆 适量']","['盐 适量', '红椒 适量', '生姜 少许', '葱白 少许', '芝麻油 适量']"
鸡蛋的2种新吃法,烘焙,咸鲜味,10分钟,新手尝试,['鸡蛋 10个'],"['盐 1勺', '醋 1勺', '水 适量']"
白糖醋带鱼,烧,酸甜味,30分钟,初级入门,['带鱼 200克'],"['料酒 5克', '盐 2克', '淀粉 15克', '生姜 3克', '葱白 5克', '米醋 15克', '白糖 20克', '番茄酱 15克', '水 50毫升']"
杀猪菜,煮,家常味,30分钟,初级入门,"['猪大肠 70克', '猪肝 90克', '猪肉 70克', '苋菜 180克', '猪血 100克', '猪肉 90克']","['葱白 5克', '生姜 5克', '八角 一个', '鸡精 适量', '盐 适量', '胡椒粉 适量']"
萝卜脆脆片,腌,酸辣味,15分钟,新手尝试,"['白萝卜 3根', '辣椒 3个', '大蒜 5个', '生姜 1个']","['酱油 200克', '醋 100克', '白糖 80克']"
冬瓜肉卷,蒸,家常味,15分钟,未知,"['猪肉 300克', '香菇 6颗', '娃娃菜 两颗']","['生姜 适量', '大蒜 适量', '大葱 适量', '料酒 适量', '蚝油 适量', '酱油 适量', '花生油 适量', '淀粉 适量']"
又香又酥的干炸带鱼,炸,咸鲜味,30分钟,初级入门,['带鱼 600克'],"['盐 适量', '五香粉 适量', '小麦面粉 适量', '葱白 适量', '生姜 适量', '花生油 适量', '辣椒粉 适量']"
大蒜香辣子鸡,炸,香辣味,30分钟,初级入门,"['鸡腿 4个', '鸡翅 9个']","['花椒 3克', '酱油 5克', '干辣椒 60克', '酱油 20克', '料酒 10克', '蚝油 15克', '大蒜 50克', '泡椒 60克', '小麦面粉 适量', '芝麻 适量', '大葱 适量', '盐 适量', '生姜 适量', '胡椒粉 适量']"
大蒜香排骨,炸,大蒜香味,30分钟,中级掌勺,['排骨 400克'],"['生姜 适量', '蚝油 8克', '盐 少许', '料酒 8克', '酱油 10克', '大蒜 30克', '白糖 8克', '淀粉 15克', '胡椒粉 适量']"
烤生蚝,烤,咸鲜味,30分钟,初级入门,['生蚝 3个'],"['大蒜 3克', '葱白 5克', '辣椒 5克', '酱油 3克', '盐 2克']"
蚵仔煎,煎,咸鲜味,60分钟,初级入门,"['葱白 5克', '卷心菜 50克', '生蚝 70克', '鸡蛋 1个']","['淀粉 50克', '料酒 10克', '盐 2克', '胡椒粉 1克', '水 20毫升']"
西红柿炒鸡蛋,炒,酸甜味,5分钟,新手尝试,"['鸡蛋 适量', '西红柿 适量']","['花生油 10毫升', '鸡精 3克', '白糖 5克', '盐 3克']"
鲜掉眉毛的鱼丸煮豆腐丝,煮,咸鲜味,30分钟,初级入门,"['豆腐丝 200克', '牛肉 3粒', '鱼丸 20克', '鱼干 15克']","['娃娃菜 适量', '蟹味菇 适量', '咸肉 1片', '黑木耳 适量', '香菜 适量', '葱白 适量', '生姜 适量', '花生油 适量', '盐 适量', '料酒 少许']"
麻辣拌,煮,香辣味,30分钟,初级入门,"['莲藕 适量', '土豆 适量', '白菜 适量']","['大蒜 适量', '辣椒 一勺', '蚝油 一勺', '葱白 一勺', '辣椒粉 一勺', '芝麻 一勺', '酱油 两勺', '盐 适量', '芝麻酱 适量']"
大蒜炒鸡蛋，自带清香，简单又营养，5分,炒,家常味,5分钟,未知,"['大蒜 1把', '鸡蛋 3个', '花生油 适量', '胡萝卜 1小段']","['盐 适量', '料酒 1勺']"
白糖醋排骨,焖,酸甜味,60分钟,中级掌勺,"['排骨 600克', '冰糖 600克']","['盐 4克', '料酒 1勺', '酱油 2勺', '苹果醋 3勺', '八角 适量', '花椒 适量', '芝麻 适量']"
水煮猪肉,煮,麻辣味,15分钟,初中水平,"['猪肉 300克', '黄豆芽 200克', '豆瓣酱 10克']","['盐 3克', '淀粉 5克', '花生油 5毫升', '葱白 适量', '干辣椒 适量', '水 150毫升', '花椒 适量', '葱白 适量']"
奶酪火腿,炸,咸鲜味,10分钟,新手尝试,"['鸡蛋 一个', '火腿 一根', '奶酪 一片']","['盐 1克', '小麦面粉 50克', '胡椒粉 1克', '面包 50克']"
猪肉,烧,甜味,10分钟,初级入门,['猪肉 500克'],"['花生油 5毫升', '冰糖 适量', '葱白 2段', '生姜 2片', '八角 适量', '花椒 适量', '酱油 5克', '酱油 5克', '料酒 3克', '盐 3克', '水 150毫升']"
馋嘴香辣鸡翅,炒,香辣味,15分钟,初中水平,"['鸡翅 750克', '豆瓣酱 3勺', '生姜 4片', '干辣椒 3个']","['花椒 1小把', '大蒜 10克', '酱油 2勺', '蚝油 2勺', '料酒 2勺', '水 1碗', '花生油 适量']"
西兰花别再凉拌了，碗里加2个鸡蛋一搅一,蒸,咸鲜味,10分钟,未知,['西兰花 2朵'],"['鸡蛋 2个', '盐 2克', '水 适量']"
白糖醋牛肉鱼丸，好吃下饭又营养,炸,酸甜味,30分钟,初级入门,"['牛肉 500克', '淀粉 120克', '鸡蛋 1个']","['辣椒油 120克', '葱白 适量', '生姜 适量', '盐 1勺', '料酒 1勺', '酱油 2勺', '蚝油 1勺', '胡椒粉 1小勺', '猪油 适量', '白糖 3大勺', '番茄酱 2勺']"
花生油焖虾,烧,酸甜味,10分钟,初级入门,"['花生油 5克', '皮皮虾 500克']","['白糖 3克', '酱油 5克', '酱油 5克', '蚝油 3克', '盐 3克', '花生油 8毫升', '生姜 适量', '葱白 适量']"
炸蘑菇,炸,咸鲜味,10分钟,初级入门,['平菇 100克'],"['小麦面粉 80克', '淀粉 40克', '鸡蛋 1个', '水 10毫升', '花生油 330毫升']"
芹菜炒肉,炒,家常味,10分钟,初级入门,"['猪肉 300克', '芹菜 100克']","['盐 2克', '水 10毫升', '酱油 20克', '葱白 5克']"
京酱猪肉,炒,酱香味,10分钟,初级入门,['猪肉 300克'],"['淀粉 10克', '水 10毫升', '花生油 8毫升', '蚝油 8克', '豆瓣酱 5克', '盐 3克']"
家常豆腐,炒,家常味,15分钟,初级入门,"['豆腐 100克', '胡萝卜 1根', '辣椒 1根']","['花生油 5毫升', '黑木耳 30克', '胡椒粉 2克', '豆瓣酱 5克', '酱油 5克', '盐 3克']"
赛螃蟹,炒,咸鲜味,30分钟,新手尝试,"['鸡蛋 2个', '龙利鱼 50克']","['生姜 适量', '大蒜 5克', '米醋 5克', '猪油 5克', '酱油 5克']"
土豆饼,煎,家常味,15分钟,初级入门,"['土豆 100克', '小麦面粉 50克']","['葱白 5克', '盐 3克', '五香粉 2克', '胡椒粉 2克', '花生油 5毫升']"
煎米饼,煎,咸鲜味,30分钟,初中水平,"['火腿 1根', '鸡蛋 3个', '大米 300克']","['葱白 2克', '盐 2克', '花生油 3毫升']"
白糖醋排骨,焖,酸甜味,60分钟,中级掌勺,['猪骨 3根'],"['八角 2颗', '大葱 1根', '花椒 2颗', '生姜 1块', '冰糖 1小把', '料酒 少许', '米醋 适量', '盐 少许', '酱油 少许']"
蘑菇莲藕片炒鸡蛋,炒,家常味,5分钟,新手尝试,"['蘑菇 300克', '莲藕 150克', '鸡蛋 2个']","['花生油 适量', '酱油 1勺', '盐 1勺', '香菜 1根']"
韭菜鸡蛋饺子,煮,家常味,15分钟,新手尝试,"['韭菜 100克', '鸡蛋 1个']","['大蒜 5克', '黑木耳 30克', '花生油 5毫升', '盐 2克', '水 1.5升']"
青椒胡萝卜炒猪肉,炒,咸鲜味,15分钟,新手尝试,"['猪肉 一块', '青椒 一个', '胡萝卜 一段']","['生姜 3片', '花生油 适量', '豆瓣酱 一勺', '料酒 2勺', '淀粉 一勺', '盐 2勺', '水 小半碗']"
麻辣羊蝎子,炖,麻辣味,60分钟,新手尝试,"['羊蹄筋 800克', '料酒 50克', '生姜 4片', '葱白 2段', '干辣椒 10克', '茴香 5克', '花椒 5克', '酱油 5克', '酒酿 10克', '料酒 3克']","['胡椒粉 0.5克', '白糖 1克', '香菜 1棵', '盐 适量', '花生油 适量', '水 适量']"
大蒜香茄子,烤,香辣味,30分钟,初级入门,['茄子 2根'],"['大蒜 适量', '葱白 适量', '辣椒 适量', '芝麻 适量']"
大盘鸡,炖,家常味,60分钟,初级入门,"['鸡肉 1000克', '青椒 1个', '香菜 适量', '生姜 适量', '葱白 适量']","['花生油 适量', '干辣椒 适量', '花椒 适量', '肉蔻 适量', '花椒 适量', '八角 适量', '桂皮 适量', '香叶 适量', '豆瓣酱 15克', '料酒 适量', '酱油 适量', '蚝油 适量', '盐 3', '鸡精 3克', '白糖 3克']"
包菜粉丝,炒,咸鲜味,15分钟,初级入门,"['粉丝 1把', '卷心菜 250克']","['水 1升', '葱白 3克', '花生油 5毫升', '盐 2克', '酱油 5克', '酱油 5克']"
鹌鹑蛋韭菜盒子,煎,家常味,30分钟,初中水平,"['小麦面粉 300克', '韭菜 200克', '鹌鹑蛋 10个']","['芝麻油 适量', '盐 适量']"
火树银花,其它工艺,咸鲜味,10分钟,初中水平,['牛肉 100克'],"['盐 2克', '花生油 100毫升', '花椒 2克', '胡椒粉 2克', '芝麻 10克', '五香粉 3克']"
风味茄子,炒,家常味,30分钟,初级入门,['茄子 250克'],"['大蒜 5克', '香菜 1根', '干辣椒 2克', '花椒 1克', '葱白 15克', '白糖 50克', '米醋 40克', '酱油 5克', '盐 2克', '淀粉 120克']"
凉面,拌,麻辣味,15分钟,初级入门,['面条 500克'],"['胡萝卜 40克', '黄瓜 40克', '盐 10克', '生姜 10克', '大蒜 10克', '水 1小碗', '酱油 25克', '醋 25克', '白糖 5克', '味精 5克', '花生油 10克', '辣椒 30克', '花生油 1小勺', '香菜 30克', '花生 10克', '黑芝麻 5克']"
面疙瘩,炒,家常味,5分钟,新手尝试,"['西红柿 2个', '小麦面粉 150克', '葱白 适量', '大蒜 适量', '鸡蛋 1个']","['酱油 10克', '盐 3克', '蚝油 7克']"
宫保鸡丁,炒,咸鲜味,15分钟,初级入门,['鸡腿 2个'],"['干辣椒 10克', '花椒 1克', '生姜 8克', '大蒜 3瓣', '葱白 1根', '白糖 8克', '苹果醋 16克', '料酒 15克', '淀粉 10克', '盐 适量', '花生 30克', '酱油 6克']"
花椒鱼头,炖,香辣味,30分钟,初中水平,"['鱼头 1个', '花椒 150克']","['生姜 10克', '大蒜 10克', '葱白 10克', '花生油 10毫升', '豆豉 5克', '蚝油 5克', '酱油 3克', '盐 2克']"
老北京炸酱面,煮,咸鲜味,30分钟,初级入门,['面条 300克'],"['花生油 5毫升', '葱白 5克', '生姜 3克', '花生酱 30克', '猪肉 100克', '白菜 50克', '黄豆芽 30克', '芹菜 30克', '胡萝卜 30克', '黄瓜 20克']"
卤鸭胗鸭掌,卤,家常味,30分钟,初级入门,"['鸭胗 7根', '鸭掌 14只']","['八角 4颗', '花椒 1把', '干辣椒 1把', '生姜 1块', '大蒜 1头', '香叶 5片', '栀子 1颗', '草果 1颗', '生姜 1块', '白豆蔻 2颗', '料酒 少许', '冰糖 1小把', '盐 10克', '酱油 适量', '酱油 适量', '酒酿 2听', '番茄酱 2小勺', '水 适量']"
红烧茄子,烧,家常味,5分钟,初级入门,['茄子 1个'],"['盐 3克', '小麦面粉 10克', '花生油 160毫升', '花椒 适量', '葱白 适量', '生姜 适量', '酱油 5克', '白糖 3克', '香菜 适量', '大蒜 适量']"
枸杞子炒肉,炒,家常味,5分钟,新手尝试,"['枸杞子 400克', '猪肉 200克']","['枸杞子 10克', '大葱 20克', '生姜 10克', '干辣椒 2个', '料酒 10毫升', '淀粉 1克', '酱油 10毫升', '花生油 10毫升', '盐 1克']"
双拼猪肉  宝宝辅食食谱,蒸,家常味,10分钟,新手尝试,"['猪肉 100克', '虾仁 100克', '淀粉 25克', '鸡蛋 2个']","['葱白 适量', '酱油 适量', '香菇 适量', '柠檬 适量']"
香菜炒泥鳅,煎,家常味,30分钟,中级掌勺,"['泥鳅 400克', '香菜 一大把', '青椒 各两个', '大蒜 几瓣']","['花生油 适量', '盐 适量', '辣椒 一勺']"
猪肉大米盒子【宝宝辅食】,烙,家常味,10分钟,新手尝试,"['大米 150克', '鸡蛋 1个', '胡萝卜 15克', '豌豆 15克']","['猪肉 1块', '花生油 适量', '香菇 适量']"
蓑衣黄瓜,拌,酸辣味,10分钟,初级入门,['黄瓜 1根'],"['花生油 适量', '盐 1克', '大蒜 2瓣', '干辣椒 2个', '小葱 1根', '酱油 15克', '米醋 3克', '白糖 2克']"
秘制猪肉,烧,家常味,60分钟,新手尝试,['猪肉 500克'],"['小葱 1棵', '冰糖 适量', '干辣椒 6个', '生姜 4片', '八角 3个', '香叶 4片', '盐 1勺', '味精 1/2勺', '料酒 适量', '酱油 适量', '酱油 适量']"
洋葱炒猪肝,炒,家常味,10分钟,新手尝试,"['猪肝 500克', '洋葱 半个', '大蒜 1颗', '生姜 1块', '青椒 3个', '大蒜 3瓣', '青椒 3个']","['料酒 适量', '酱油 适量', '花生油 适量', '盐 少许']"
炸香椿鱼,炸,家常味,15分钟,新手尝试,['香椿 1小把'],"['小麦面粉 120克', '水 180克', '鸡蛋 2个', '盐 适量', '花生油 适量']"
清炖鸡精,炖,家常味,数小时,初级入门,['乌鸡 1只'],"['黄芪 3克', '生姜 3克', '葱白 5克', '葱白 3克', '桂圆 2克', '红枣 3个', '枸杞子 2克', '党参 2克', '当归 2克']"
红焖鸡腿,烧,家常味,15分钟,新手尝试,"['鸡腿 2个', '葱白 适量', '生姜 适量']","['酱油 2勺', '酱油 1勺', '料酒 1勺', '白糖 半勺', '蚝油 1勺', '盐 适量']"
口水鸡,煮,香辣味,5分钟,初级入门,"['鸡腿 一个', '黄瓜 一根']","['辣椒 一把', '花椒 一把', '芝麻 少许', '葱白 适量', '生姜 适量', '大蒜 适量', '花生油 一勺', '料酒 一勺', '酱油 一勺', '米醋 一勺', '盐 一茶匙', '味精 少许']"
京酱猪肉,烧,家常味,15分钟,新手尝试,"['猪肉 250克', '大葱 一根', '胡萝卜 半根', '黄瓜 一根', '豆腐皮 两张']","['盐 适量', '花生油 适量', '酱油 5毫升', '番茄酱 10克', '小麦面粉 5克', '蚝油 5克']"
糯米鸡肉锅贴,煎,家常味,15分钟,初中水平,"['糯米 适量', '鸡肉 200克', '香菇 3个', '胡萝卜 半根', '小麦面粉 适量']","['芝麻油 适量', '盐 适量', '酱油 适量', '蚝油 适量']"
酸甜爽脆的红萝卜,拌,酸甜味,10分钟,新手尝试,['红萝卜 200克'],"['盐 适量', '花生油 适量', '酱油 15克', '苹果醋 12克', '白糖 12克']"
凉拌鸡蛋,拌,咸鲜味,5分钟,新手尝试,['鸡蛋 4个'],"['葱白 100克', '生姜 50克', '大蒜 100克', '苹果醋 100克']"
干锅花菜,炒,香辣味,5分钟,初级入门,"['花菜 500克', '猪肉 100克', '青椒 50克']","['辣椒酱 30克', '盐 少许', '干辣椒 适量', '酱油 15克', '白糖 10克']"
毛豆炒肉,炒,酸辣味,10分钟,中级掌勺,"['毛豆 200克', '猪肉 100克', '辣椒 两个']","['花生油 适量', '盐 适量', '酱油 适量', '生姜 一个', '青椒 两个', '料酒 一勺']"
麻辣豆腐,炒,麻辣味,10分钟,新手尝试,"['豆腐 1块', '花生酱 1勺', '豆瓣酱 1勺', '牛肉 80克', '花生油 适量']","['葱白 适量', '生姜 适量', '大蒜 适量', '盐 1勺', '料酒 1勺', '酱油 2勺', '淀粉 1勺', '鸡精 1小勺']"
烧辣椒擂茄子,蒸,香辣味,30分钟,中级掌勺,"['茄子 两个', '辣椒 两个', '鸡蛋 一个']","['花生 适量', '盐 适量', '酱油 适量']"
虾仁蛋滑西兰花,炒,大蒜香味,10分钟,未知,"['西兰花 适量', '虾 适量', '香菇 适量']","['蛋黄 一颗', '猪油 适量', '大蒜 适量', '葱白 适量', '淀粉 适量', '蚝油 适量', '酱油 适量', '鸡精 适量', '白糖 适量', '五香粉 适量', '胡椒粉 适量']"
大蒜炒猪肉,炒,家常味,15分钟,新手尝试,"['大蒜 一把', '猪肉 半根']","['盐 1/4茶匙', '白糖 1/2汤匙', '酱油 1/2汤匙', '鸡精 少许', '花生油 1汤匙', '料酒 少许']"
木须肉,炒,家常味,5分钟,新手尝试,"['鸡肉 200克', '黄花菜 适量', '黑木耳 适量', '蒜薹 2把', '花生油 适量', '鸡蛋 3个']","['葱白 适量', '淀粉 1勺', '盐 1勺', '料酒 1勺', '白糖 小半勺', '酱油 1勺', '猪油 适量', '鸡精 适量']"
芦笋炒肉,炒,家常味,15分钟,未知,"['芦笋 300克', '猪肉 150克', '大蒜 6克']","['盐 适量', '鸡精 0.5克', '花生油 10克', '酱油 10克', '花椒 1克', '辣椒 1个']"
砂锅猪肉,煮,家常味,2小时,未知,['猪肉 500克'],"['芝麻油 1勺', '白糖 1勺', '大蒜 3粒', '生姜 3片', '葱白 4段', '八角 2粒', '干辣椒 2根', '酒酿 1勺', '酱油 1.5勺']"
香辣脆脆黄瓜,腌,酸辣味,10分钟,新手尝试,"['黄瓜 5个', '酱油 80克', '米醋 30克', '白糖 40克', '辣椒 30克', '生姜 1块', '大蒜 50克', '花生油 80克']","['盐 适量', '芝麻 适量']"
